event_id,event_date,closest_before_date,closest_before_offset_days,closest_before_image_id,closest_after_date,closest_after_offset_days,closest_after_image_id,total_passes_in_window
755610,2018-05-21,2018-05-10,-11,S1A_IW_GRDH_1SDV_20180510T231408_20180510T231433_021849_025BA5_EB89,2018-05-22,1,S1A_IW_GRDH_1SDV_20180522T231409_20180522T231434_022024_026137_6DDC,2
775029,2018-07-07,2018-06-27,-10,S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,2018-07-09,2,S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,2
775031,2018-07-07,2018-06-27,-10,S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,2018-07-09,2,S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,2
1029187,2022-05-23,2022-05-13,-10,S1A_IW_GRDH_1SDV_20220513T231430_20220513T231455_043199_0528C5_5077,2022-05-25,2,S1A_IW_GRDH_1SDV_20220525T231430_20220525T231455_043374_052DF9_09E0,2
1173317,2024-05-25,2024-05-14,-11,S1A_IW_GRDH_1SDV_20240514T231439_20240514T231504_053874_068C4B_5E79,2024-05-26,1,S1A_IW_GRDH_1SDV_20240526T231440_20240526T231505_054049_069253_4EF3,2
1208432,2024-08-04,,,,2024-08-06,2,S1A_IW_GRDH_1SDV_20240806T231437_20240806T231502_055099_06B6C2_779E,1
